Party,Handle,Tweet
Democrat,NancyPelosi,#NetNeutrality means you can use the internet how you (not some company) see fit – even if that’s debating about… https://t.co/juE20ddF7l
Democrat,NancyPelosi,"RT @HouseDemocrats: .@davidcicilline: No senior should spend hours on the phone, shopping around for prescription drugs or struggling to br…"
Democrat,NancyPelosi,Americans have made it clear they are worried about rising prescription drug prices – and it’s no wonder. They dese… https://t.co/ogkaKQ3iSC
Democrat,NancyPelosi,"From the first day of his campaign, @realDonaldTrump promised to go toe-to-toe with Big Pharma. And now, after mont… https://t.co/Y69mGUcfHH"
Democrat,NancyPelosi,"RT @HouseDemocrats: LIVE NOW! @repjoecrowley, @NancyPelosi, and @davidcicilline host their weekly press conference 👉 https://t.co/xww9cCTFMK"
Democrat,NancyPelosi,"RT @RepTimWalz: 2 million people will have their access to food threatened if the @HouseGOP passes their hyper-partisan #FarmBill.

That’s…"
Democrat,NancyPelosi,It’s time for @SpeakerRyan to finally hold the classified briefing Members need on the steps being taken to… https://t.co/sGOETwfHDD
Democrat,NancyPelosi,"Here in our Capitol Hill community, we will never forget the loss of USCP Officer Jacob Chestnut &amp; Detective John G… https://t.co/HBep0sqlZR"
Democrat,NancyPelosi,"Every year, we take a moment to honor the memory &amp; sacrifice of the police officers who have lost their lives in se… https://t.co/ePaHrcQhzP"
Democrat,NancyPelosi,"As American Muslims come together across the nation to celebrate #Ramadan, we hope this sacred time brings the bles… https://t.co/rSSmvuS5Xw"
Democrat,NancyPelosi,The #GOPFarmBill only makes SNAP better if you define “better” as jeopardizing benefits for nearly 2 million people… https://t.co/tVBl2svY5x
Democrat,NancyPelosi,"RT @HomelandDems: Unfortunately, the #electionsecurity briefing @SpeakerRyan just announced is unclassified. No way it can properly educate…"
Democrat,NancyPelosi,Wishing the very best to @RepAnthonyBrown. Rest up &amp; we’ll see you back in the People’s House soon!
Democrat,NancyPelosi,Republicans need to stop lying about the *actual* focus of their #GOPTaxScam (wealthiest 1 percent &gt; seniors &amp; fami… https://t.co/gnTFqBVfkQ
Democrat,NancyPelosi,".@FLOTUS, hope that you are comfortable &amp; best wishes for a speedy recovery!"
Democrat,NancyPelosi,RT @HispanicCaucus: Trump's anti-immigrant policies are hurting small businesses across the country that can’t find Americans willing to do…
Democrat,NancyPelosi,.@realDonaldTrump is focused on helping create jobs in China for a company that threatens US national security. Dem… https://t.co/3kfnmSezKI
Democrat,NancyPelosi,".@SenatorReid, know that you are in good hands at @HopkinsMedicine, glad to hear surgery was successful &amp; praying for your speedy recovery!"
Democrat,NancyPelosi,"As a mother &amp; grandmother, I know that our children are the most precious and important things that life can offer.… https://t.co/g5faU0Mr0g"
Democrat,NancyPelosi,This #MothersDay I partnered with @ozy to share a few stories and why they are important to me as a mother of 5 and… https://t.co/dHQj91rEl7
Democrat,NancyPelosi,"This week, I welcomed baseball legend @DavidOrtiz, UNHCR Goodwill Ambassador @KristinDavis and the @MachinistsUnion… https://t.co/1HDCjnSOJ8"
Democrat,NancyPelosi,"Alongside @RepEBJ, it was my privilege to join @WFSDallas President Laurie Bouillion Larrea and visionary partners… https://t.co/cCrqBtH0jh"
Democrat,NancyPelosi,.@realDonaldTrump continues breaking his promises. This time by abandoning the millions of hard-working families st… https://t.co/pDqY8XNqgu
Democrat,NancyPelosi,"Ebola has re-emerged in central Africa, posing a threat to countless innocent men, women &amp; children. Meanwhile,… https://t.co/5JcWcT2gza"
Democrat,NancyPelosi,"RT @HouseAgDems: As Budget Committee Chairman between 2012 and 2015, Paul Ryan proposed more than $686 billion in cuts to vital farm bill p…"
Democrat,NancyPelosi,#MomsDontNeed to see their children go without the nutritious food that helps them to grow strong – but under the… https://t.co/Zh76ly3m3h
Democrat,NancyPelosi,RT @CongressmanRaja: This attack on @SenJohnMcCain is disgraceful. Senator McCain served his country with honor in uniform and it is unfath…
Democrat,NancyPelosi,RT @RepJudyChu: Republicans voted to repeal the ACA more than 60 times. https://t.co/CgXty3Axbq
Democrat,NancyPelosi,Rising prescription drug prices are forcing roughly one in five Americans to ration the medication that keeps them… https://t.co/V224L4CBIL
Democrat,NancyPelosi,It’s time to put an end to the out-of-control growth of prescription drug prices. #ABetterDeal https://t.co/RAY5SJHgyS
Democrat,NancyPelosi,"Democrats are coming together to discuss our plan to offer working families #ABetterDeal on prescription drugs.

Wa… https://t.co/KzqO3yhKMe"
Democrat,NancyPelosi,The #JCPOA was one of the great diplomatic achievements of our time — in no small part because we were able to gain… https://t.co/YwvUG9JFSy
Democrat,NancyPelosi,.@realDonaldTrump’s decision to abandon the #JCPOA is no substitute for real global leadership. https://t.co/q37awjcq3t
Democrat,NancyPelosi,"President Trump’s decision to abandon the Joint Comprehensive Plan of Action will ultimately isolate America, not I… https://t.co/t3QRuaoaCn"
Democrat,NancyPelosi,Looking forward to attending the 2018 #FiscalSummit hosted by @PGPFoundation tomorrow. Tune in at 1:30 pm ET for my… https://t.co/5lHBJyPURL
Democrat,NancyPelosi,#NetNeutrality is crucial to ensuring small businesses continue to be the laboratories for new ideas &amp; job creation… https://t.co/h40kTF7ZV1
Democrat,NancyPelosi,"Grateful to hear that Kim Hak-song, Tony Kim &amp; Kim Dong-chu are on their way home to loved ones after being wrongfu… https://t.co/quBRf8SOpz"
Democrat,NancyPelosi,Thankful to the hardworking men &amp; women of the @MachinistsUnion for coming out today to share their stories of how… https://t.co/onDfJYHnMn
Democrat,NancyPelosi,Tune in as we hear straight from workers about the impact of the #GOPTaxScam. https://t.co/ViEBDHyuAE
Democrat,NancyPelosi,If you had told me a year ago that @SpeakerRyan would still be refusing to stand up to @realDonaldTrump &amp; protect t… https://t.co/sNwJ11IoDN
Democrat,NancyPelosi,Want to see the real impact of the #GOPTaxScam on working people? Tune in at 1:30 pm ET as we hear straight from wo… https://t.co/Jdqyxdbi0l
Democrat,NancyPelosi,What do the Republicans have against the middle class that they want to ultimately raise taxes on 86 million famili… https://t.co/95T7G8lwNN
Democrat,NancyPelosi,"While GOP plans to eliminate children’s health funding to pay for #GOPTaxScam, Dems want to strengthen the middle c… https://t.co/EJv2fP4TNH"
Democrat,NancyPelosi,Wonderful to join @RepEspaillat in welcoming @davidortiz to Washington for #SemanaDominicana! https://t.co/nHRmktewWj
Democrat,NancyPelosi,Thankful to the @OfficialCBC for always being the conscience of the Congress &amp; standing up for equal justice under… https://t.co/yY9W6c6bOo
Democrat,NancyPelosi,Today is a sad day for America’s global leadership.  The Trump Administration’s dangerous &amp; impulsive action is no… https://t.co/HEtqmyY2oG
Democrat,NancyPelosi,Democrats have no illusions about the Iranian regime. We remain strongly committed to stopping the advancement of I… https://t.co/L3CzdudUZ2
Democrat,NancyPelosi,.@realDonaldTrump’s decision to abdicate American leadership during a critical moment in our effort to advance a de… https://t.co/7kKeuru1Vo
